question,answer,id,relevant_passage_ids
Is dichlorphenamide effective for periodic paralysis?,"Yes, dichlorphenamide is effective for periodic paralysis. Dichlorphenamide--a carbonic anhydrase inhibitor--has been shown in a controlled trial to prevent attacks for many patients with both hypokalemic and hypokalemic periodic paralysis.",878,[18345024  3374500 10632100 18426576 19019313 18254068  6855804]
List SLC25A46-related pathologies,"The mitochondrial protein SLC25A46 has been recently identified as a novel pathogenic cause in a wide spectrum of neurological diseases, including inherited optic atrophy, Charcot-Marie-Tooth type 2, Leigh syndrome, progressive myoclonic ataxia and lethal congenital pontocerebellar hypoplasia.",3666,[28376086]
"Carbapenemase-producing gram-negative bacteria is a major health concern because their resistance to antibiotics.
List the most frequent carbapenemases found in Enterobacteriaceae.","The most frequent carbapenemases in Enterobacteriaceae  are OXA-48, KPC, VIM, NDM, IMP, SME, NMC, GES, IMI and MBL.",1086,"[19386850 17594211 17227206 20686438 20960935 20649801 23114438 20237104
 18070960 22553235 22383444 20534805 20542902 22796889]"
Describe RIblast,"LncRNAs play important roles in various biological processes. Although more than 58 000 human lncRNA genes have been discovered, most known lncRNAs are still poorly characterized. One approach to understanding the functions of lncRNAs is the detection of the interacting RNA target of each lncRNA. Because experimental detections of comprehensive lncRNA-RNA interactions are difficult, computational prediction of lncRNA-RNA interactions is an indispensable technique. However, the high computational costs of existing RNA-RNA interaction prediction tools prevent their application to large-scale lncRNA datasets. 'RIblast' is an ultrafast RNA-RNA interaction prediction method based on the seed-and-extension approach. RIblast discovers seed regions using suffix arrays and subsequently extends seed regions based on an RNA secondary structure energy model. Computational experiments indicate that RIblast achieves a level of prediction accuracy similar to those of existing programs, but at speeds over 64 times faster than existing programs.",2555,[28459942]
Are Conserved Nonexonic Elements (CNEEs) important in phylogenomics research?,"Yes. Conserved Nonexonic Elements (CNEEs) appear to be promising as phylogenomic markers, yielding phylogenetic resolution as high as for UCEs and introns but with fewer gaps, less ambiguity in alignments and with patterns of nucleotide substitution more consistent with the assumptions of commonly used methods of phylogenetic analysis.",2364,[28417603 28637293]
Can Alzheimer's disease related miRNAs be detected in patients' blood?,Yes. It has been demonstrated that blood miRNAs could be useful as biomarkers in Alzheimer's disease.,1502,[23528227 21709374 22155483 23435408 21548758 23054683 23030236 19936094]
Which algorithm is available for computing minimal absent words using external memory?,emMAW,2283,[28407038]
Is the HRC Ser96Ala variant associated with sudden cardiac death in patients with dilated cardiomyopathy?,A human genetic variant (Ser96Ala) in the sarcoplasmic reticulum (SR) histidine-rich Ca(2+)-binding (HRC) protein has been linked to ventricular arrhythmia and sudden death in dilated cardiomyopathy.The histidine-rich calcium binding protein (HRC) Ser96Ala polymorphism was shown to correlate with ventricular arrhythmias and sudden death only in dilated cardiomyopathy patients but not in healthy human carriers.,1466,[18617481 24805197 21742996 20807542 24125847]
Which java utility has been developed for class hidden markov models?,"JUCHMME is an open-source software package designed to fit arbitrary custom Hidden Markov Models (HMMs) with a discrete alphabet of symbols, and is used for biological sequence analysis and class hidden markov models in Java EE 8 and Java EE 9.",4269,[31250907]
Are recessive coding variants responsible for the majority of undiagnosed nonconsanguineous individuals?,"No. It is suggested that recessive coding variants account for a small fraction of currently undiagnosed nonconsanguineous individuals, and that the role of noncoding variants, incomplete penetrance, and polygenic mechanisms need further exploration.",3070,[30409806]
Where are Paneth cells located?,Paneth cells are located in the intestinal crypt base columnar cells (CBCCs).,1829,[23006982 19788585 23232853 21122555 19397593 24439803]
Is there any association of the chromosomal region harboring the gene ITIH3 with schizophrenia?,"Yes, genome-wide significant associations in schizophrenia has been linked to the locus harboring the ITIH3/4 genes.",1223,[24461634 25414627 24618187 24373612 22614287 25136889 21926972 21926974]
Should tirilazad be used for treatment of ischemic stroke?,"No. Tirilazad should not be used for treatment of stroke because it does not improve disease outcomes, but may increase death and disability.",3830,[10978061 11781420 18810661]
Is αCGRP a member of the CGRP family?,"Yes, aCGRP, a 37-residue-long peptide hormone, is a novel amyloidogenic member of the CGRP family.",3736,[29501724]
Are Copy Number Variants (CNVs) depleted in regions of low mappability?,"No. Low-mappability regions are approximately 5 times more likely to harbor germline CNVs, in stark contrast to the nearly uniform distribution observed for somatic CNVs in 95 cancer genomes.",2955,[30137632]
What is the effect of TRH on myocardial contractility?,TRH improves myocardial contractility,27,[ 9088928  9225129 15096458  2848686  1611701  1979356]
Is eptinezumab a small molecule?,"No, eptinezumab is a humanized monoclonal antibody.",4017,[32266704]
Which properties of the mRNA does N6-methyladenosine (m6A) affect?,N(6)-methyladenosine (m6A) is the most abundant modified base in eukaryotic mRNA and has been linked to diverse effects on mRNA fate. m6A predominantly and directly reduces mRNA stability.,1681,"[ 6592581 24981863  6318439 19180239  9409616 25475057 25452335 25430002
 25412662 25569111 22575960 26121403  3029112]"
List orally bioavailable MPS1 kinase inhibitors,"1 h-pyrrolo [3,2-c] pyridine, cct271850, nms-p715, 4-aminopyrazalo,bos172722 and cct251455.",3977,[29380674 28334731 31575759 27335255 21159646]
Where is the protein Pannexin1 located?,The protein Pannexin1 is localized to the plasma membranes.,18,"[24782784 26100513 24694658 25007779 24642372 25698922 19409451 17064878
 25056878 24194896]"
The Mantoux test detects what latent infection/disease?,screened for TB infection with a Mantoux tuberculin skin testtuberculin skin test (TST) performed according to the Mantoux method.,2654,"[28276801 27529924 25401733 27187878 12238571 28337457 11089393 16307510
 21822042 17663901]"
Which is the genetic lesion associated with Huntington’s disease?,The genetic lesion associated with Huntington's disease is a CAG trinucleotide repeat expansion in the HD (or HTT) gene.,772,[7620118]
Which kinase is inhibited by the small molecule KN-93?,The calcium/calmodulin-dependent protein kinase-II (CaMK-II) is inhibited by the small molecule KN-93. KN-93 is a membrane-permeant calcium/calmodulin- dependent kinase II (CaMK-II)-selective inhibitor,119,"[ 9596994 11164895  1662507 21187407 11248432 10712242  9864285 16896952
 15569687 11827960 22290426 17457979 14749212 15175389  7690557  8939965]"
What is known about EphA2 in drug resistance?,"ligand- and tyrosine kinase-independent EphA2 signaling (the noncanonical pathway) promotes tumor survival and metastasis and controls acquired drug resistance and maintenance of cancer stem cell-like properties.
Findings confirm EPHA2 as an actionable drug target, provide a rational basis for drug combination approaches, and indicate that chemical proteomics is broadly applicable for the discovery of kinase inhibitor resistance.",3299,[26744526 29048432 25963923 30055288 28966234]
Are reduced-nicotine cigarettes effective for smoking cessation?,"Yes, reduced-nicotine cigarettes are effective for smoking cessation.",281,"[16497603 26422724 23603206 25150282 18629723 25025523 24746485 17573781
 21232155 19793786 20078491]"
Which deiodinases are present in skeletal  muscle?,Type 2 and Type 3 deiodinases are expressed in skeletal muscle and their expression is modulated by disease state and fasting.,481,[16127464 19293265 17986277 23396445]
Is p100 the precursor protein molecule of the NF-kappaB transcription factor subunit p50?,"No, the precursor molecule for NF-kappaB p50 is p105 and not p100. Nfkb2 encodes two members of the NF-kappa B/Rel family of proteins: p52 and p100. The p100 polypeptide has been proposed to serve as a precursor of p52 (and not of p50), which corresponds to the N-terminal half of p100. NF-kappaB functions as a hetero- or homo-dimer which can be formed from five NF-kappaB subunits, NF-kappaB1 (p50 and its precursor p105), NF-kappaB2 (p52 and its precursor p100), RelA (p65), RelB and c-Rel.",1329,"[19302050 17693123 10597218 12505990 22282470 15485830 11158290 16223731
 12894228 20363924  8649779  8398903 10207090 12556537 15677466 11726516
  8710364 13679070]"
Which extra thyroid tissues have thyrotropin (TSH) receptors?,"TSH receptors are expressed also in extrathyroid tissues. TSH receptors seem to be functional. Extrathyroid tissues include fibrobasts of the orbit and adipose tissue
The principal tissues with TSH receptors are:
adippose tissue
 orbital fibrotic tissue",1630,[21956421 22289392 22517745 22399514 22496347]
Is the SDHAF2 gene encoding a protein necessary for flavination of SDHA?,"Yes, SDHAF2 or hSDH5, is the gene encoding the enzyme responsible for the flavination of SDHA.",1206,[21752896 23061808 23036115 19732718]
